Sample Name,Sample Position,Method,DataFolder,Data File,Sampe Type,Comment,Sample Group
CondBlank1,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\CondBlank1.d,Blank,,Standards
0ppbLevo,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\0ppbLevo.d,Calibration,,Standards
0.5ppbLevo,P1-A2,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\0.5ppbLevo.d,Calibration,,Standards
1ppbLevo,P1-A3,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\1ppbLevo.d,Calibration,,Standards
2ppbLevo,P1-A4,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\2ppbLevo.d,Calibration,,Standards
5ppbLevo,P1-A5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\5ppbLevo.d,Calibration,,Standards
10ppbLevo,P1-A6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\10ppbLevo.d,Calibration,,Standards
20ppbLevo,P1-A7,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\20ppbLevo.d,Calibration,,Standards
50ppbLevo,P1-A8,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\50ppbLevo.d,Calibration,,Standards
100ppbLevo,P1-A9,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\100ppbLevo.d,Calibration,,Standards
200ppbLevo,P1-B1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\200ppbLevo.d,Calibration,,Standards
500ppbLevo,P1-B2,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\500ppbLevo.d,Calibration,,Standards
Blank1,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank1.d,Blank,,Standards
CKSTD1-10ppbLevo,P1-A6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\CKSTD1-10ppbLevo.d,Sample,,Standards
Blank2,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank2.d,Blank,,Standards
DIT_01_BC1,P1-B4,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_BC1.d,,,
DIT_01_BC2,P1-B5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_BC2.d,,,
DIT_01_BC3,P1-B6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_BC3.d,,,
DIT_01_BL1,P1-B7,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_BL1.d,,,
DIT_01_BL2,P1-B8,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_BL2.d,,,
DIT_01_FC1,P1-C1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_FC1.d,,,
DIT_01_FC2,P1-C2,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_FC2.d,,,
DIT_01_FC3,P1-C3,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_FC3.d,,,
DIT_01_FL1,P1-C4,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_FL1.d,,,
DIT_01_FL2,P1-C5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_FL2.d,,,
DIT_01_FL3,P1-C6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_FL3.d,,,
Blank3,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank3.d,Blank,,Standards
CKSTD2-5ppbLevo,P1-A5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\CKSTD2-5ppbLevo.d,Sample,,Standards
Blank4,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank4.d,Blank,,Standards
DIT_01_SC1,P1-C7,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_SC1.d,,,
DIT_01_SC2,P1-C8,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_SC2.d,,,
DIT_01_SC3,P1-C9,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_SC3.d,,,
DIT_01_SL1,P1-D1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_SL1.d,,,
DIT_01_SL2,P1-D2,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_SL2.d,,,
DIT_01_SL3,P1-D3,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_01_SL3.d,,,
DIT_02_BC1,P1-D4,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_BC1.d,,,
DIT_02_BC2,P1-D5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_BC2.d,,,
DIT_02_BC3,P1-D6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_BC3.d,,,
DIT_02_BL1,P1-D7,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_BL1.d,,,
DIT_02_BL2,P1-D8,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_BL2.d,,,
DIT_02_BL3,P1-D9,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_BL3.d,,,
Blank5,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank5.d,Blank,,Standards
CKSTD3-20ppbLevo,P1-A7,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\CKSTD3-20ppbLevo.d,Sample,,Standards
Blank6,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank6.d,Blank,,Standards
DIT_02_FC1,P1-E1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_FC1.d,,,
DIT_02_FC3,P1-E2,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_FC3.d,,,
DIT_02_FL1,P1-E3,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_FL1.d,,,
DIT_02_FL2,P1-E4,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_FL2.d,,,
DIT_02_FL3,P1-E5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_FL3.d,,,
DIT_02_SC1,P1-E6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_SC1.d,,,
DIT_02_SC2,P1-E7,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_SC2.d,,,
DIT_02_SC3,P1-E8,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_SC3.d,,,
DIT_02_SL1,P1-E9,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_SL1.d,,,
DIT_02_SL2,P1-F1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_SL2.d,,,
DIT_02_SL3,P1-F2,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_02_SL3.d,,,
DIT_03_BC1,P1-F3,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_BC1.d,,,
Blank7,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank7.d,Blank,,Standards
CKSTD4-50ppbLevo,P1-A8,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\CKSTD4-50ppbLevo.d,Sample,,Standards
Blank8,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank8.d,Blank,,Standards
DIT_03_BC2,P1-F4,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_BC2.d,,,
DIT_03_BC3,P1-F5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_BC3.d,,,
DIT_03_BL1,P1-F6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_BL1.d,,,
DIT_03_BL2,P1-F7,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_BL2.d,,,
DIT_03_BL3,P1-F8,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_BL3.d,,,
DIT_03_FC1,P1-F9,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_FC1.d,,,
DIT_03_FC2,P2-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_FC2.d,,,
DIT_03_FC3,P2-A2,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_FC3.d,,,
DIT_03_FL1,P2-A3,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_FL1.d,,,
DIT_03_FL2,P2-A4,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_FL2.d,,,
DIT_03_FL3,P2-A5,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_FL3.d,,,
DIT_03_SC1,P2-A6,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\DIT_03_SC1.d,,,
Blank9,P1-A1,D:\MassHunter\Methods\Anhydrosugar Methods\Levoglucosan Only\Levoglucosan_Adjusted_Gambaro_2008_Acquisition.m,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\,D:\MassHunter\Data\2024\June\240627 BSLE_DIT_Levo\Blank9.d,Blank,,Standards
