day,sampleID,shortID,read1,read2,read3,read4,read5
1,DIT_02_INC-FC1,FC1,6.67,6.66,6.68,6.66,6.66
1,DIT_02_INC-BC1,BC1,7.09,7.08,7.08,7.08,7.09
1,DIT_02_INC-SC1,SC1,7.38,7.41,7.39,7.4,7.39
1,DIT_02_INC-FL1,FL1,6.11,6.12,6.14,6.13,6.15
1,DIT_02_INC-BL1,BL1,5.59,5.6,5.59,5.62,5.6
1,DIT_02_INC-SL1,SL1,7.2,7.2,7.21,7.2,7.17
1,DIT_03_INC-FC1,FC1,7.41,7.39,7.38,7.41,7.39
1,DIT_03_INC-BC1,BC1,7.57,7.55,7.57,7.58,7.58
1,DIT_03_INC-SC1,SC1,7.34,7.34,7.32,7.31,7.3
1,DIT_03_INC-FL1,FL1,6.25,6.24,6.25,6.24,6.21
1,DIT_03_INC-BL1,BL1,5.51,5.5,5.49,5.48,5.51
1,DIT_03_INC-SL1,SL1,7.17,7.19,7.18,7.18,7.19
1,DIT_04_INC-FC1,FC1,7.37,7.37,7.36,7.37,7.36
1,DIT_04_INC-BC1,BC1,7.22,7.2,7.19,7.21,7.2
1,DIT_04_INC-SC1,SC1,7.38,7.4,7.39,7.37,7.38
1,DIT_04_INC-FL1,FL1,6.19,6.18,6.19,6.17,6.19
1,DIT_04_INC-BL1,BL1,5.49,5.49,5.49,5.47,5.49
1,DIT_04_INC-SL1,SL1,7.03,7.03,7.03,7.03,7.02
1,DIT_05_INC-FC1,FC1,7.76,7.75,7.74,7.74,7.73
1,DIT_05_INC-BC1,BC1,7.39,7.37,7.41,7.4,7.39
1,DIT_05_INC-SC1,SC1,7.67,7.58,7.56,7.58,7.58
1,DIT_05_INC-FL1,FL1,6.54,6.54,6.53,6.54,6.54
1,DIT_05_INC-BL1,BL1,5.59,5.58,5.56,5.57,5.56
1,DIT_05_INC-SL1,SL1,7.16,7.17,7.16,7.18,7.17
1,DIT_06_INC-FC1,FC1,7.82,7.82,7.81,7.82,7.82
1,DIT_06_INC-BC1,BC1,7.29,7.3,7.28,7.29,7.28
1,DIT_06_INC-SC1,SC1,7.77,7.73,7.74,7.75,7.72
1,DIT_06_INC-FL1,FL1,6.04,6.06,6.08,6.04,6.06
1,DIT_06_INC-BL1,BL1,5.54,5.55,5.57,5.54,5.53
1,DIT_06_INC-SL1,SL1,7.12,7.12,7.12,7.12,7.1
2,DIT_03_INC-FC1,FC1,6.61,6.64,6.63,6.64,6.66
2,DIT_03_INC-BC1,BC1,7.79,7.78,7.79,7.81,7.78
2,DIT_03_INC-SC1,SC1,11.82,11.84,11.8,11.12,11.86
2,DIT_03_INC-FL1,FL1,8.46,8.4,8.4,8.33,8.36
2,DIT_03_INC-BL1,BL1,5.02,5.02,4.99,4.97,4.95
2,DIT_03_INC-SL1,SL1,9.28,9.28,9.31,9.24,9.3
2,DIT_04_INC-FC1,FC1,8.61,8.65,8.65,8.61,8.61
2,DIT_04_INC-BC1,BC1,9.05,9.14,9.04,9.1,9.14
2,DIT_04_INC-SC1,SC1,12.69,12.75,12.75,12.8,12.65
2,DIT_04_INC-FL1,FL1,8.7,8.7,8.71,8.7,8.63
2,DIT_04_INC-BL1,BL1,5.72,5.73,5.75,5.72,5.71
2,DIT_04_INC-SL1,SL1,8.53,8.49,8.49,8.46,8.43
2,DIT_05_INC-FC1,FC1,9.56,9.54,9.51,9.47,9.51
2,DIT_05_INC-BC1,BC1,7.46,7.43,7.4,7.44,7.38
2,DIT_05_INC-SC1,SC1,13.65,13.65,13.62,13.58,13.58
2,DIT_05_INC-FL1,FL1,8.98,8.98,9.04,9.05,9.02
2,DIT_05_INC-BL1,BL1,5.52,5.53,5.51,5.55,5.52
2,DIT_05_INC-SL1,SL1,9.04,9.02,9.02,9.05,9.04
2,DIT_06_INC-FC1,FC1,9.97,10,9.97,10.02,10
2,DIT_06_INC-BC1,BC1,6.78,6.75,6.73,6.76,6.76
2,DIT_06_INC-SC1,SC1,13.15,13.13,13.13,13.13,13.15
2,DIT_06_INC-FL1,FL1,8.02,8.03,8.03,7.97,7.94
2,DIT_06_INC-BL1,BL1,5.28,5.31,5.28,5.28,5.31
2,DIT_06_INC-SL1,SL1,8.78,8.76,8.73,8.73,8.73
3,DIT_03_INC-FC1,FC1,7.37,7.37,7.37,7.37,7.35
3,DIT_03_INC-BC1,BC1,7.49,7.48,7.46,7.46,7.46
3,DIT_03_INC-SC1,SC1,7.52,7.52,7.49,7.51,7.52
3,DIT_03_INC-FL1,FL1,8.12,8.1,8.1,8.08,8.04
3,DIT_03_INC-BL1,BL1,6.54,6.51,6.52,6.5,6.51
3,DIT_03_INC-SL1,SL1,7.63,7.62,7.62,7.62,7.62
3,DIT_04_INC-FC1,FC1,7.55,7.52,7.5,7.49,7.52
3,DIT_04_INC-BC1,BC1,7.4,7.41,7.39,7.39,7.41
3,DIT_04_INC-SC1,SC1,7.89,7.88,7.88,7.86,7.88
3,DIT_04_INC-FL1,FL1,8.12,8.09,8.11,8.08,8.08
3,DIT_04_INC-BL1,BL1,6.12,6.12,6.1,6.11,6.09
3,DIT_04_INC-SL1,SL1,7.22,7.23,7.22,7.23,7.23
3,DIT_05_INC-FC1,FC1,7.44,7.44,7.42,7.4,7.39
3,DIT_05_INC-BC1,BC1,7.23,7.25,7.22,7.22,7.2
3,DIT_05_INC-SC1,SC1,7.81,7.77,7.81,7.82,7.81
3,DIT_05_INC-FL1,FL1,8.4,8.41,8.43,8.43,8.39
3,DIT_05_INC-BL1,BL1,6.07,6.05,6.05,6.04,6.05
3,DIT_05_INC-SL1,SL1,7.41,7.4,7.41,7.41,7.41
3,DIT_06_INC-FC1,FC1,7.85,7.87,7.86,7.84,7.87
3,DIT_06_INC-BC1,BC1,7.21,7.21,7.21,7.2,7.21
3,DIT_06_INC-SC1,SC1,8.06,8.03,8.02,8.01,8.02
3,DIT_06_INC-FL1,FL1,7.95,7.97,7.95,7.94,7.95
3,DIT_06_INC-BL1,BL1,5.23,5.24,5.25,5.23,5.24
3,DIT_06_INC-SL1,SL1,7.27,7.25,7.25,7.25,7.25
4,DIT_04_INC-FC1,FC1,7.15,7.15,7.16,7.16,7.13
4,DIT_04_INC-BC1,BC1,7.28,7.25,7.26,7.24,7.25
4,DIT_04_INC-SC1,SC1,7.96,7.97,7.94,7.96,7.95
4,DIT_04_INC-FL1,FL1,8,8.01,8,7.97,7.99
4,DIT_04_INC-BL1,BL1,5.36,5.36,5.35,5.35,5.35
4,DIT_04_INC-SL1,SL1,7.03,7.01,7.02,7.03,7.01
4,DIT_05_INC-FC1,FC1,7.21,7.2,7.19,7.19,7.19
4,DIT_05_INC-BC1,BC1,7.03,7.02,7.02,7.03,7.01
4,DIT_05_INC-SC1,SC1,7.51,7.55,7.53,7.54,7.57
4,DIT_05_INC-FL1,FL1,8.47,8.49,8.52,8.51,8.49
4,DIT_05_INC-BL1,BL1,4.85,4.85,4.85,4.83,4.83
4,DIT_05_INC-SL1,SL1,7.28,7.29,7.3,7.3,7.29
4,DIT_06_INC-FC1,FC1,7.4,7.4,7.4,7.37,7.36
4,DIT_06_INC-BC1,BC1,7.19,7.17,7.18,7.16,7.18
4,DIT_06_INC-SC1,SC1,8.29,8.33,8.3,8.28,8.26
4,DIT_06_INC-FL1,FL1,8.1,8.06,8.08,8.07,8.09
4,DIT_06_INC-BL1,BL1,5.41,5.39,5.38,5.37,5.37
4,DIT_06_INC-SL1,SL1,7.51,7.49,7.49,7.48,7.46
7,DIT_04_INC-FC1,FC1,5.96,5.95,5.96,5.96,5.98
7,DIT_04_INC-BC1,BC1,6.34,6.31,6.31,6.3,6.28
7,DIT_04_INC-SC1,SC1,6.56,6.62,6.66,6.69,6.73
7,DIT_04_INC-FL1,FL1,6.99,7,7.02,7.03,7.05
7,DIT_04_INC-BL1,BL1,4.65,4.66,4.65,4.66,4.67
7,DIT_04_INC-SL1,SL1,6.21,6.2,6.2,6.22,6.22
7,DIT_05_INC-FC1,FC1,5.71,5.7,5.7,5.7,5.7
7,DIT_05_INC-BC1,BC1,5.85,5.85,5.83,5.85,5.85
7,DIT_05_INC-SC1,SC1,6.14,6.16,6.17,6.17,6.17
7,DIT_05_INC-FL1,FL1,7.03,7.05,7.07,7.09,7.08
7,DIT_05_INC-BL1,BL1,3.96,3.97,3.98,3.98,3.97
7,DIT_05_INC-SL1,SL1,6.26,6.26,6.26,6.26,6.24
7,DIT_06_INC-FC1,FC1,6.01,6.01,6.02,6.06,6.04
7,DIT_06_INC-BC1,BC1,6.1,6.11,6.12,6.12,6.13
7,DIT_06_INC-SC1,SC1,6.6,6.61,6.64,6.66,6.65
7,DIT_06_INC-FL1,FL1,6.69,6.7,6.73,6.75,6.73
7,DIT_06_INC-BL1,BL1,4.1,4.11,4.12,4.16,4.15
7,DIT_06_INC-SL1,SL1,5.9,5.93,5.94,5.96,5.96
8,DIT_05_INC-FC1,FC1,6.18,6.17,6.15,6.13,6.16
8,DIT_05_INC-BC1,BC1,6.4,6.38,6.34,6.37,6.36
8,DIT_05_INC-SC1,SC1,6.64,6.66,6.68,6.69,6.65
8,DIT_05_INC-FL1,FL1,7.55,7.55,7.53,7.53,7.57
8,DIT_05_INC-BL1,BL1,4.1,4.09,4.09,4.08,4.1
8,DIT_05_INC-SL1,SL1,6.6,6.58,6.58,6.59,6.6
8,DIT_06_INC-FC1,FC1,6.4,6.4,6.42,6.44,6.45
8,DIT_06_INC-BC1,BC1,6.45,6.45,6.46,6.44,6.45
8,DIT_06_INC-SC1,SC1,7.3,7.31,7.29,7.29,7.28
8,DIT_06_INC-FL1,FL1,7.24,7.23,7.24,7.25,7.23
8,DIT_06_INC-BL1,BL1,4.37,4.36,4.37,4.37,4.37
8,DIT_06_INC-SL1,SL1,6.48,6.44,6.48,6.46,6.48
9,DIT_05_INC-FC1,FC1,6.04,6.04,6.03,6.04,6.06
9,DIT_05_INC-BC1,BC1,6.31,6.29,6.28,6.27,6.26
9,DIT_05_INC-SC1,SC1,6.58,6.58,6.56,6.55,6.56
9,DIT_05_INC-FL1,FL1,7.46,7.41,7.4,7.4,7.39
9,DIT_05_INC-BL1,BL1,3.84,3.84,3.84,3.84,3.84
9,DIT_05_INC-SL1,SL1,6.55,6.53,6.53,6.53,6.54
9,DIT_06_INC-FC1,FC1,6.36,6.36,6.34,6.35,6.32
9,DIT_06_INC-BC1,BC1,6.44,6.45,6.44,6.47,6.44
9,DIT_06_INC-SC1,SC1,7.38,7.39,7.38,7.4,7.38
9,DIT_06_INC-FL1,FL1,7.39,7.36,7.35,7.35,7.34
9,DIT_06_INC-BL1,BL1,4.18,4.17,4.16,4.16,4.16
9,DIT_06_INC-SL1,SL1,6.29,6.3,6.3,6.28,6.3
10,DIT_05_INC-FC1,FC1,6.09,6.05,6.05,6.03,6.02
10,DIT_05_INC-BC1,BC1,6.48,6.46,6.45,6.44,6.43
10,DIT_05_INC-SC1,SC1,6.8,6.8,6.79,6.79,6.78
10,DIT_05_INC-FL1,FL1,7.69,7.68,7.66,7.65,7.67
10,DIT_05_INC-BL1,BL1,3.98,3.97,3.96,3.96,3.95
10,DIT_05_INC-SL1,SL1,6.79,6.78,6.79,6.81,6.78
10,DIT_06_INC-FC1,FC1,6.48,6.5,6.48,6.47,6.47
10,DIT_06_INC-BC1,BC1,6.62,6.6,6.59,6.61,6.59
10,DIT_06_INC-SC1,SC1,7.51,7.51,7.47,7.5,7.49
10,DIT_06_INC-FL1,FL1,7.52,7.51,7.52,7.5,7.52
10,DIT_06_INC-BL1,BL1,4.28,4.28,4.3,4.29,4.28
10,DIT_06_INC-SL1,SL1,6.47,6.5,6.5,6.5,6.51
